Customer ID,Gender,Age,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,City Tier
212,1,30,3,1470.5,20,4.8,0,13,2,3
213,1,27,2,710.4,13,4.1,1,54,0,1
214,0,37,1,430.8,7,3.4,0,23,1,1
215,0,31,3,1140.6,15,4.6,1,27,2,2
216,1,35,2,810.9,12,4.3,0,13,1,2
217,0,41,1,485.25,9,3.6,1,39,0,1
218,1,28,3,1500.1,21,4.9,0,10,2,3
219,1,32,2,670.3,10,3.8,1,33,0,1
220,0,36,1,460.5,8,3.1,0,19,1,1
221,0,30,3,1190.8,16,4.5,1,20,2,2
222,1,33,2,830.75,13,4.2,0,14,2,2
223,0,42,1,520.4,9,3.5,1,37,0,1
224,1,29,3,1370.2,18,4.7,0,10,2,3
225,1,26,2,690.6,12,3.9,1,47,0,1
226,0,38,1,440.9,8,3.2,0,24,1,1
227,0,32,3,1160.3,14,4.4,1,22,2,2
228,1,34,2,800.2,11,4.1,0,17,1,2
229,0,43,1,500.75,10,3.3,1,40,0,1
230,1,30,3,1460.5,20,4.8,0,12,2,3
231,1,27,2,700.4,13,4.0,1,53,0,1
232,0,37,1,420.8,7,3.1,0,21,1,1
233,0,31,3,1130.6,15,4.5,1,26,2,2
234,1,35,2,820.9,12,4.3,0,12,1,2
235,0,41,1,480.25,9,3.6,1,38,0,1
236,1,28,3,1490.1,21,4.9,0,9,2,3
237,1,32,2,680.3,10,3.8,1,32,0,1
238,0,36,1,470.5,8,3.0,0,18,1,1
239,0,30,3,1180.8,16,4.7,1,19,2,2
240,1,34,2,790.2,11,4.0,0,15,1,2
241,0,43,1,505.75,10,3.3,1,39,0,1
242,1,30,3,1470.5,20,4.8,0,13,2,3
243,1,27,2,710.4,13,4.1,1,54,0,1
244,0,37,1,430.8,7,3.4,0,23,1,1
245,0,31,3,1130.6,15,4.5,1,26,2,2
246,1,35,2,820.9,12,4.3,0,12,1,2
247,0,41,1,480.25,9,3.6,1,38,0,1
248,1,28,3,1490.1,21,4.9,0,9,2,3
249,1,32,2,680.3,10,3.8,1,32,0,1
250,0,36,1,470.5,8,3.0,0,18,1,1
251,0,30,3,1180.8,16,4.7,1,19,2,2
252,1,34,2,790.2,11,4.0,0,15,1,2
253,0,43,1,505.75,10,3.3,1,39,0,1
254,1,30,3,1470.5,20,4.8,0,13,2,3
255,1,27,2,710.4,13,4.1,1,54,0,1
256,0,37,1,430.8,7,3.4,0,23,1,1
257,0,31,3,1140.6,15,4.6,1,27,2,2
258,1,35,2,810.9,12,4.3,0,13,1,2
259,0,41,1,485.25,9,3.6,1,39,0,1
260,1,28,3,1500.1,21,4.9,0,10,2,3
261,1,32,2,670.3,10,3.8,1,33,0,1
262,0,36,1,460.5,8,3.1,0,19,1,1
263,0,30,3,1190.8,16,4.5,1,20,2,2
264,1,33,2,830.75,13,4.2,0,14,2,2
265,0,42,1,520.4,9,3.5,1,37,0,1
266,1,29,3,1370.2,18,4.7,0,10,2,3
267,1,26,2,690.6,12,3.9,1,47,0,1
268,0,38,1,440.9,8,3.2,0,24,1,1
269,0,32,3,1160.3,14,4.4,1,22,2,2
270,1,34,2,800.2,11,4.1,0,17,1,2
271,0,43,1,500.75,10,3.3,1,40,0,1
272,1,30,3,1460.5,20,4.8,0,12,2,3
273,1,27,2,700.4,13,4.0,1,53,0,1
274,0,37,1,430.8,7,3.4,0,23,1,1
275,0,31,3,1140.6,15,4.5,1,27,2,2
276,1,35,2,820.9,12,4.3,0,12,1,2
277,0,41,1,480.25,9,3.6,1,38,0,1
278,1,28,3,1490.1,21,4.9,0,9,2,3
279,1,32,2,680.3,10,3.8,1,32,0,1
280,0,36,1,470.5,8,3.0,0,18,1,1
281,0,30,3,1180.8,16,4.7,1,19,2,2
282,1,34,2,790.2,11,4.0,0,15,1,2
283,0,43,1,505.75,10,3.3,1,39,0,1
284,1,30,3,1470.5,20,4.8,0,13,2,3
285,1,27,2,710.4,13,4.1,1,54,0,1
286,0,37,1,430.8,7,3.4,0,23,1,1
287,0,31,3,1130.6,15,4.5,1,26,2,2
288,1,35,2,820.9,12,4.3,0,13,1,2
289,0,41,1,485.25,9,3.6,1,39,0,1
290,1,28,3,1500.1,21,4.9,0,10,2,3
291,1,32,2,670.3,10,3.8,1,33,0,1
292,0,36,1,460.5,8,3.1,0,19,1,1
293,0,30,3,1190.8,16,4.5,1,20,2,2
294,1,33,2,830.75,13,4.2,0,14,2,2
295,0,42,1,520.4,9,3.5,1,37,0,1
296,1,29,3,1370.2,18,4.7,0,10,2,3
297,1,26,2,690.6,12,3.9,1,47,0,1
298,0,38,1,440.9,8,3.2,0,24,1,1
299,0,32,3,1160.3,14,4.4,1,22,2,2
300,1,34,2,800.2,11,4.1,0,17,1,2
301,1,36,3,1420.8,19,4.6,0,11,2,3
302,0,29,2,730.4,14,4.0,1,50,0,1
303,0,35,1,450.6,7,3.3,0,21,1,1
304,1,31,3,1210.6,17,4.8,1,18,2,2
305,1,27,2,780.9,11,4.2,0,16,1,2
306,0,42,1,495.25,10,3.5,1,35,0,1
307,1,29,3,1390.2,18,4.7,0,9,2,3
308,1,26,2,670.6,12,3.9,1,46,0,1
309,0,38,1,460.9,8,3.2,0,25,1,1
310,0,32,3,1170.3,14,4.5,1,21,2,2
311,1,34,2,810.2,11,4.0,0,14,1,2
312,0,43,1,515.75,9,3.3,1,38,0,1
313,1,30,3,1450.5,20,4.8,0,12,2,3
314,1,27,2,690.4,13,4.1,1,52,0,1
315,0,37,1,420.8,7,3.4,0,24,1,1
316,0,31,3,1130.6,15,4.5,1,26,2,2
317,1,35,2,820.9,12,4.3,0,13,1,2
318,0,41,1,480.25,9,3.6,1,39,0,1
319,1,28,3,1490.1,21,4.9,0,9,2,3
320,1,32,2,680.3,10,3.8,1,32,0,1
321,0,36,1,470.5,8,3.0,0,18,1,1
322,0,30,3,1180.8,16,4.7,1,19,2,2
323,1,34,2,790.2,11,4.0,0,15,1,2
324,0,43,1,505.75,10,3.3,1,39,0,1
325,1,30,3,1470.5,20,4.8,0,13,2,3
326,1,27,2,710.4,13,4.1,1,54,0,1
327,0,37,1,430.8,7,3.4,0,23,1,1
328,0,31,3,1140.6,15,4.5,1,27,2,2
329,1,35,2,820.9,12,4.3,0,13,1,2
330,0,41,1,485.25,9,3.6,1,39,0,1
331,1,28,3,1500.1,21,4.9,0,10,2,3
332,1,32,2,670.3,10,3.8,1,33,0,1
333,0,36,1,460.5,8,3.1,0,19,1,1
334,0,30,3,1190.8,16,4.5,1,20,2,2
335,1,33,2,830.75,13,4.2,0,14,2,2
336,0,42,1,520.4,9,3.5,1,37,0,1
337,1,29,3,1370.2,18,4.7,0,10,2,3
338,1,26,2,690.6,12,3.9,1,47,0,1
339,0,38,1,440.9,8,3.2,0,24,1,1
340,0,32,3,1160.3,14,4.4,1,22,2,2
341,1,34,2,800.2,11,4.1,0,17,1,2
342,0,43,1,525.75,9,3.3,1,40,0,1
343,1,30,3,1460.5,20,4.8,0,11,2,3
344,1,27,2,720.4,13,4.0,1,55,0,1
345,0,37,1,440.8,7,3.2,0,25,1,1
346,0,31,3,1150.6,15,4.5,1,28,2,2
347,1,35,2,830.9,12,4.3,0,14,1,2
348,0,41,1,490.25,9,3.6,1,40,0,1
349,1,28,3,1480.1,21,4.9,0,10,2,3
350,1,32,2,690.3,10,3.8,1,34,0,1
351,0,36,1,480.5,8,3.1,0,20,1,1
352,0,30,3,1170.8,16,4.7,1,21,2,2
353,1,34,2,790.2,11,4.0,0,15,1,2
354,0,43,1,510.75,10,3.3,1,41,0,1
355,1,30,3,1440.5,19,4.6,0,12,2,3
356,1,27,2,700.4,13,4.1,1,56,0,1
357,0,37,1,410.8,7,3.4,0,26,1,1
358,0,31,3,1160.6,15,4.5,1,29,2,2
359,1,35,2,810.9,12,4.3,0,14,1,2
360,0,41,1,495.25,9,3.6,1,41,0,1
361,1,28,3,1490.1,21,4.9,0,10,2,3
362,1,32,2,660.3,10,3.8,1,35,0,1
363,0,36,1,430.5,8,3.1,0,21,1,1
364,0,30,3,1200.8,16,4.7,1,22,2,2
365,1,34,2,780.2,11,4.1,0,16,1,2
366,0,43,1,505.75,10,3.3,1,42,0,1
367,1,30,3,1460.5,20,4.8,0,13,2,3
368,1,27,2,710.4,13,4.1,1,57,0,1
369,0,37,1,450.8,7,3.4,0,24,1,1
370,0,31,3,1140.6,15,4.5,1,30,2,2
371,1,35,2,800.9,12,4.1,0,17,1,2
372,0,41,1,475.25,9,3.6,1,42,0,1
373,1,28,3,1480.1,21,4.9,0,11,2,3
374,1,32,2,660.3,10,3.8,1,36,0,1
375,0,36,1,470.5,8,3.0,0,22,1,1
376,0,30,3,1190.8,16,4.5,1,23,2,2
377,1,33,2,770.2,11,4.2,0,18,1,2
378,0,43,1,515.75,10,3.3,1,43,0,1
379,1,30,3,1450.5,19,4.6,0,12,2,3
380,1,27,2,710.4,13,4.1,1,58,0,1
381,0,37,1,430.8,7,3.4,0,27,1,1
382,0,31,3,1160.6,15,4.5,1,31,2,2
383,1,35,2,820.9,12,4.3,0,15,1,2
384,0,41,1,495.25,9,3.6,1,43,0,1
385,1,28,3,1490.1,21,4.9,0,10,2,3
386,1,32,2,660.3,10,3.8,1,37,0,1
387,0,36,1,440.5,8,3.1,0,23,1,1
388,0,30,3,1200.8,16,4.7,1,24,2,2
389,1,34,2,780.2,11,4.1,0,16,1,2
390,0,43,1,505.75,10,3.3,1,44,0,1
391,1,30,3,1460.5,20,4.8,0,13,2,3
392,1,27,2,710.4,13,4.1,1,59,0,1
393,0,37,1,450.8,7,3.4,0,28,1,1
394,0,31,3,1140.6,15,4.5,1,32,2,2
395,1,35,2,800.9,12,4.1,0,17,1,2
396,0,41,1,475.25,9,3.6,1,44,0,1
397,1,28,3,1480.1,21,4.9,0,12,2,3
398,1,32,2,660.3,10,3.8,1,38,0,1
399,0,36,1,470.5,8,3.0,0,22,1,1
400,0,30,3,1190.8,16,4.5,1,25,2,2
401,1,33,2,800.2,11,4.1,0,18,1,2
402,0,43,1,515.75,10,3.3,1,45,0,1
403,1,30,3,1450.5,19,4.6,0,13,2,3
404,1,27,2,710.4,13,4.1,1,60,0,1
405,0,37,1,430.8,7,3.4,0,29,1,1
406,0,31,3,1160.6,15,4.5,1,33,2,2
407,1,35,2,820.9,12,4.3,0,16,1,2
408,0,41,1,495.25,9,3.6,1,45,0,1
409,1,28,3,1490.1,21,4.9,0,11,2,3
410,1,32,2,660.3,10,3.8,1,39,0,1
411,0,36,1,440.5,8,3.1,0,24,1,1
412,0,30,3,1200.8,16,4.7,1,25,2,2
413,1,34,2,780.2,11,4.1,0,17,1,2
414,0,43,1,505.75,10,3.3,1,46,0,1
415,1,30,3,1460.5,20,4.8,0,14,2,3
416,1,27,2,710.4,13,4.1,1,61,0,1
417,0,37,1,450.8,7,3.4,0,30,1,1
418,0,31,3,1140.6,15,4.5,1,34,2,2
419,1,35,2,800.9,12,4.1,0,19,1,2
420,0,41,1,475.25,9,3.6,1,46,0,1
421,1,28,3,1480.1,21,4.9,0,12,2,3
422,1,32,2,660.3,10,3.8,1,40,0,1
423,0,36,1,470.5,8,3.0,0,26,1,1
424,0,30,3,1190.8,16,4.5,1,27,2,2
425,1,34,2,780.2,11,4.2,0,18,1,2
426,0,43,1,515.75,10,3.3,1,47,0,1
427,1,30,3,1450.5,19,4.6,0,14,2,3
428,1,27,2,710.4,13,4.1,1,62,0,1
429,0,37,1,430.8,7,3.4,0,31,1,1
430,0,31,3,1160.6,15,4.5,1,35,2,2
431,1,35,2,820.9,12,4.3,0,20,1,2
432,0,41,1,495.25,9,3.6,1,47,0,1
433,1,28,3,1490.1,21,4.9,0,11,2,3
434,1,32,2,660.3,10,3.8,1,41,0,1
435,0,36,1,440.5,8,3.1,0,28,1,1
436,0,30,3,1200.8,16,4.7,1,28,2,2
437,1,34,2,780.2,11,4.1,0,19,1,2
438,0,43,1,505.75,10,3.3,1,48,0,1
439,1,30,3,1460.5,20,4.8,0,15,2,3
440,1,27,2,710.4,13,4.1,1,63,0,1
441,0,37,1,450.8,7,3.4,0,32,1,1
442,0,31,3,1140.6,15,4.5,1,36,2,2
443,1,35,2,800.9,12,4.1,0,20,1,2
444,0,41,1,475.25,9,3.6,1,48,0,1
445,1,28,3,1480.1,21,4.9,0,13,2,3
446,1,32,2,660.3,10,3.8,1,42,0,1
447,0,36,1,470.5,8,3.0,0,27,1,1
448,0,30,3,1190.8,16,4.5,1,28,2,2
449,1,34,2,780.2,11,4.2,0,21,1,2
450,0,43,1,515.75,10,3.3,1,49,0,1
